geo_entity_name,fishing_entity_name,eez_name,fao_area_name,declaration_year,started_eez_at,date_allowed_to_fish_other_eezs,date_allowed_to_fish_high_seas,area,shelf_area,ifa,percentage_of_worlds_coral_reefs,percentage_of_worlds_sea_mounts,ppr
Australia,Australia,Australia,"Indian Ocean, Eastern",1979,1979,1950,1950,3508256,1138373.522,653494.8225,1.494891,0.329,284.5428968
Bahamas,Bahamas,Bahamas,"Atlantic, Western Central",1977,1977,1950,1950,628026.2492,117343.8619,93762.50504,1.014894,0.175,380.91
Bahrain,Bahrain,Bahrain,"Indian Ocean, Western",1985,9999,9999,9999,8826.215292,8826.287181,6224.219956,0.262301,0,1048.79
Bangladesh,Bangladesh,Bangladesh,"Indian Ocean, Eastern",1974,1974,9999,9999,84846,65545.5848,32476.85855,0.002586,0,1743.28
Barbados,Barbados,Barbados,"Atlantic, Western Central",1979,1979,1950,1950,183773,342.063599,342.063599,0.021989,0.007,420.29
Belgium,Belgium,Belgium,"Atlantic, Northeast",1979,1969,1905,1905,3479.159649,3478.977482,2849.088204,0,0,1755.6
Bosnia & Herzegovina,Bosnia & Herzegovina,Bosnia & Herzegovina,Mediterranean and Black Sea,1994,9999,9999,9999,13.5179361,13.51793608,13.51793591,0,0,390
St Paul and St. Peter Archipelago (Brazil),Brazil,St Paul and St. Peter Archipelago (Brazil),"Atlantic, Southwest",1970,1970,1950,1950,235016.8371,0,0,0,0.081,222.2721232
St Paul and St. Peter Archipelago (Brazil),Brazil,St Paul and St. Peter Archipelago (Brazil),"Atlantic, Eastern Central",1970,1970,1950,1950,178624.4938,11.16520538,0,0,0.128,173.6319151
Fernando de Noronha (Brazil),Brazil,Fernando de Noronha (Brazil),"Atlantic, Southwest",1970,1970,1950,1950,363373.4718,548.8187154,455.4479442,0.002642,0.081,307.29
Trindade & Martin Vaz Isl. (Brazil),Brazil,Trindade & Martim Vaz Isl. (Brazil),"Atlantic, Southwest",1970,1970,1950,1950,468598.5757,202.6437491,0,0,0.047,155.66
Brazil,Brazil,Brazil (mainland),"Atlantic, Southwest",1970,1970,1950,1950,2357670.572,740376.2376,356849.6111,0.34388,0.726,619.8007752
Brazil,Brazil,Brazil (mainland),"Atlantic, Western Central",1970,1970,1950,1950,43247.58516,1931.420063,0,0,0,11.49171279
Belize,Belize,Belize,"Atlantic, Western Central",1992,1992,1950,1950,36182.09991,10490.50085,10490.50085,0.412995,0.02,511.9
Solomon Isl.,Solomon Isl.,Solomon Isl.,"Pacific, Western Central",1979,1978,1950,9999,1596464.425,33195.55241,29736.69,1.666642,1.452,265.4
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,"Pacific, Western Central",1983,1983,1970,9999,25340,8924.694634,6281.310108,0.058924,0,822.3
Bulgaria,Bulgaria,Bulgaria,Mediterranean and Black Sea,1987,1987,1950,1950,35132,11901.83075,11242.97037,0,0,906.04
Myanmar,Myanmar,Myanmar,"Indian Ocean, Eastern",1977,1977,9999,9999,511389.2346,219820.7359,141366.6449,0.661396,0,888.96
Eritrea,Eritrea,Eritrea,"Indian Ocean, Western",1993,1960,9999,9999,78382.63641,61896.22012,54887.10983,0.707439,0,1257.14
Cambodia,Cambodia,Cambodia,"Pacific, Western Central",1978,1982,1990,9999,47675.71289,47676.10913,22665.88,0.01033,0,652.71
Cameroon,Cameroon,Cameroon,"Atlantic, Eastern Central",2000,1974,1973,1973,14669.28423,11787.90414,11787.90414,0.013948,0,2169.41
Canada,Canada,Canada (Arctic),Arctic Sea,1977,1977,1950,1950,3021355.461,1743909.698,652033.2,0,0,293.9
Canada,Canada,Canada (East Coast),"Atlantic, Northwest",1977,1977,1950,1950,2276594.29,850902.8041,451116.6083,0,0.007,749.97
Canada,Canada,Canada (Pacific),"Pacific, Northeast",1977,1977,1950,1950,470238,87417.99296,83173.43,0,0.343,898.41
Cape Verde,Cape Verde,Cape Verde,"Atlantic, Eastern Central",1977,1977,1980,1980,796554.8889,5381.999479,5327.214712,0.08136,0.074,693.02
Sri Lanka,Sri Lanka,Sri Lanka,"Indian Ocean, Eastern",1977,1977,1976,1976,530945.4256,32073.84737,31230.39,0.202275,0.013,584.88
Desventuradas Isl. (Chile),Chile,Desventuradas Isl. (Chile),"Pacific, Southeast",1950,1947,1950,1950,449835.8219,502.8375253,314.9183584,0,0.168,284.34
Juan Fernandez Isl. (Chile),Chile,Juan Fernandez Islands (Chile),"Pacific, Southeast",1950,1947,1950,1950,503120.3832,492.5446079,430.5577777,0,0.114,379.97
Easter Isl. (Chile),Chile,Easter Isl. (Chile),"Pacific, Southeast",1950,1947,1950,1950,720409.9335,290.5090443,119.92807,0,0.424,115.09
Chile,Chile,Chile (mainland),"Pacific, Southeast",1950,1947,1950,1950,1972589.312,225174.6344,225174.6344,0,0.41,744.0175369
Chile,Chile,Chile (mainland),"Atlantic, Southwest",1950,1947,1950,1950,2578.259473,2545.875641,2545.875641,0,0,1.417426377
Hong Kong (China),Hong Kong,Hong Kong (China),"Pacific, Northwest",1998,1998,1998,1970,2007.635799,2008,2007.635801,0.002728,0,1483.45
China,China,China,"Pacific, Western Central",1998,1998,1950,1950,1110259.548,153819.9932,0,2.216776,0.8,163.1509774
China,China,China,"Pacific, Northwest",1998,1998,1950,1950,1126170.191,875087.6643,412515.1018,0.463695,0.054,560.5195375
Taiwan,Taiwan,Taiwan,"Pacific, Western Central",1979,1979,1950,1950,617863.9351,19274.15014,0,1.73873,0,158.3710329
Taiwan,Taiwan,Taiwan,"Pacific, Northwest",1979,1979,1950,1950,530621.2509,145762.094,57495.98302,0.539371,0.067,216.626552
Colombia,Colombia,Colombia (Caribbean),"Atlantic, Western Central",1978,1978,1975,1975,417660.731,33158.20954,30609.88153,0.215776,0.087,489.23
Colombia,Colombia,Colombia (Pacific),"Pacific, Southeast",1978,1978,1975,1975,326656.1231,16525.22837,16166.05883,0.009986,0.188,732.76
Comoros,Comoros,Comoros Isl.,"Indian Ocean, Western",1976,1976,9999,1970,164643.4049,1602.388226,1561.063565,0.082951,0.007,393.29
